x	u
           -29.53125	-4.972500417791195e-06
         -28.9453125	2.284933948954598e-06
           -28.59375	1.105223082043319e-05
         -28.0078125	5.590734989357332e-06
          -27.421875	-3.053528834503355e-06
          -26.953125	-1.412472560623646e-05
           -26.71875	-7.029180082267217e-06
         -26.1328125	-7.480755169833597e-06
           -25.78125	-6.16549283138923e-06
           -24.84375	1.880826690212056e-06
         -24.7265625	8.744841011404381e-06
          -24.140625	9.161674345246895e-06
          -23.671875	1.051755492767481e-06
          -22.265625	2.890990461815179e-06
           -22.03125	7.964771801389353e-06
            -21.5625	-2.073617109910053e-06
         -21.2109375	-5.168907463173888e-06
         -19.8046875	-3.70540482357018e-06
           -19.21875	-3.131169447653792e-06
         -17.4609375	1.500270882290322e-06
         -16.2890625	1.129635408277097e-05
          -15.703125	2.22051261423023e-05
         -15.1171875	2.493628663384484e-05
                 -15	2.618472641087444e-05
         -14.4140625	5.244039578862492e-05
         -13.9453125	7.500963175996467e-05
          -13.828125	8.688910055886651e-05
          -13.359375	0.0001333708385004295
         -13.2421875	0.0001513288013912581
            -12.1875	0.0004516357028477025
           -11.71875	0.0007194591038395606
         -11.1328125	0.001318536858440217
         -10.4296875	0.002649562182146264
           -9.140625	 0.00949973622917899
           -8.671875	 0.01509409297357397
          -8.3203125	 0.02131552062247929
           -7.265625	 0.05878879210098533
            -7.03125	 0.07314288535446591
          -6.2109375	  0.1511400103644636
          -5.7421875	  0.2193758557678005
           -5.390625	   0.281287756662837
           -4.921875	  0.3706374181775534
          -4.8046875	   0.392376941443929
          -4.5703125	   0.432580436073459
           -4.453125	  0.4502387100145149
               -3.75	  0.4996584430728161
          -3.3984375	  0.4803355624458863
            -3.28125	  0.4677745052717737
           -2.578125	    0.35157953140996
            -2.34375	   0.306591183185284
           -2.109375	  0.2628984540483646
          -1.9921875	  0.2420962174339516
          -1.7578125	  0.2033097251059375
          -0.3515625	 0.05980843935639356
          -0.1171875	 0.04795193979381984
           0.8203125	 0.01949558637380984
           1.0546875	 0.01556231759599183
            2.578125	0.003976116396781627
            3.046875	0.002940370957855483
            3.515625	0.002468036534392414
           4.5703125	0.002853163494852817
              4.6875	0.003005813785200762
            4.921875	0.003381781422699764
           5.2734375	0.004147188798132473
           5.5078125	0.004798849779400469
           5.7421875	0.005586321711456219
           5.9765625	0.006518937034849098
            6.328125	0.008274354846679821
           7.1484375	 0.01446265273130989
           8.3203125	  0.0318560128686552
               9.375	 0.06250271709273802
           9.7265625	 0.07719799279296327
             9.84375	 0.08266669621940806
           10.078125	 0.09444711607599904
           12.890625	  0.2486271202949197
              13.125	  0.2499824432349566
           13.359375	  0.2479029456518185
            13.59375	  0.2425201500849242
          13.7109375	  0.2386790627673928
          13.9453125	   0.228921897987302
           14.296875	  0.2100721429376624
           14.765625	  0.1800117656098558
          14.8828125	  0.1720795447762141
          16.0546875	 0.09801661186266636
          16.9921875	 0.05637053154351537
             17.8125	 0.03329452245099612
          18.1640625	  0.0263666041263885
           18.515625	  0.0208192040841221
          19.5703125	 0.01010343046595788
          20.0390625	0.007296293890993885
           20.390625	0.005707081990654922
           21.328125	0.002948766522240652
            22.03125	0.001788709529765703
           22.265625	0.001513141740925303
          22.6171875	0.001185106158902391
            22.96875	0.000915406660691221
          23.5546875	0.0006081254773338367
          24.0234375	0.0004408130811218158
          24.2578125	0.0003713405208475642
              24.375	0.0003380214691087527
            24.84375	0.0002364978619632321
             25.3125	0.0001684445280419333
           25.546875	0.000146712474438343
             27.1875	3.175248336645398e-05
          27.7734375	1.791484540775157e-05
          28.4765625	1.324783012062597e-05
          28.9453125	1.175161865238361e-05
          29.1796875	3.799783798111994e-06
           29.296875	2.47607345884443e-06
          29.4140625	-2.804788309943712e-06
           29.765625	-4.972921391507151e-06
