x	u0	u1
         -4.43359375	(0.007510963145389127+0.06505024051980669j)	(0.0072675320638943+0.06496002868036847j)
          -4.4140625	(0.007460740595861104+0.06552750809834318j)	(0.007230616346007301+0.06545814737108654j)
         -4.39453125	(0.007412632917382811+0.06606718061760306j)	(0.0072073998643839565+0.0660234495174872j)
              -4.375	(0.007403508499939936+0.06661966591141835j)	(0.007201652314708932+0.06665199714361691j)
         -4.35546875	(0.007395454892595792+0.0671876638899861j)	(0.007206892401158984+0.0673364332824026j)
          -4.3359375	(0.007381969639551372+0.06778985509933672j)	(0.007223699030530689+0.06802115282829131j)
         -4.31640625	(0.00739114093032258+0.06836015488054425j)	(0.007251294115283295+0.06868739154047765j)
           -4.296875	(0.0074660924955948366+0.06898914507456479j)	(0.007295717589199599+0.06932218265431687j)
         -4.27734375	(0.007557513324971149+0.06967215833915763j)	(0.007339999150803439+0.06998793408692859j)
          -4.2578125	(0.007671187020257764+0.07042617851977397j)	(0.007420878209130483+0.07068164724203567j)
         -4.23828125	(0.007842239386652336+0.07123149102643635j)	(0.007575248568828963+0.07142395058555058j)
            -4.21875	(0.008052158209257143+0.07203305796255081j)	(0.007747638171276605+0.0721922576387515j)
         -4.19921875	(0.008258249147351626+0.07283611965375514j)	(0.007926313569188548+0.07296563286326109j)
          -4.1796875	(0.008484550231131371+0.07368809400290222j)	(0.008154566894803011+0.07383077032768383j)
         -4.16015625	(0.008710947422866044+0.07455670704699772j)	(0.008411359243882838+0.07474920840829133j)
           -4.140625	(0.008960955852559072+0.0754151547058005j)	(0.00867174816451477+0.07566282912777111j)
         -4.12109375	(0.009273540093498428+0.07631099138402539j)	(0.008984158299238182+0.07664097966711872j)
          -4.1015625	(0.009620480853482632+0.07728434212819396j)	(0.00937013619735061+0.07764946791364094j)
         -4.08203125	(0.009980766931325769+0.0783169360496006j)	(0.009765754520167813+0.0787106000041276j)
             -4.0625	(0.010399899418648217+0.07942662784274557j)	(0.010183331829303255+0.07976646428115314j)
         -4.04296875	(0.010873459455531809+0.08053788417297467j)	(0.01062496682901054+0.08080568028886609j)
          -4.0234375	(0.011351674116079902+0.0816594146960726j)	(0.011092360891272746+0.08183003902556524j)
         -4.00390625	(0.011837044799075602+0.0828304653975448j)	(0.011575240333693393+0.08289820382955823j)
           -3.984375	(0.012363036073705147+0.08400519708805748j)	(0.01208188618818623+0.08402612635714873j)
         -3.96484375	(0.012918846308101362+0.08525813048596997j)	(0.012602804890894492+0.08524704577087419j)
          -3.9453125	(0.01344511164941592+0.08653994005203736j)	(0.013156312949341109+0.08649202023846622j)
         -3.92578125	(0.013961712397866644+0.08782338960099406j)	(0.013715008166959086+0.087766940756554j)
            -3.90625	(0.014488440923813739+0.08909385007315834j)	(0.014229718157252713+0.08906977813894312j)
         -3.88671875	(0.01499210482522384+0.0903695631090361j)	(0.014740122454076465+0.0903947240520363j)
          -3.8671875	(0.015473743367520665+0.09169361165585677j)	(0.01529704596210002+0.09177785913694148j)
         -3.84765625	(0.01600232314012101+0.09308479877698173j)	(0.01581234911856999+0.0931516859946212j)
           -3.828125	(0.01654042021746238+0.09449306257298873j)	(0.016309679250467612+0.09454294711079492j)
         -3.80859375	(0.0171001811346978+0.09592948638410853j)	(0.016846123007584257+0.09597651384424233j)
          -3.7890625	(0.017697937510198325+0.09741364093290367j)	(0.0173679393129893+0.09744936670498905j)
         -3.76953125	(0.018307265204427048+0.09897989904141735j)	(0.01785041910586549+0.09898785553859946j)
               -3.75	(0.018861852231131144+0.10057027722660886j)	(0.018333881051584813+0.10055770556289101j)
         -3.73046875	(0.019425194630899242+0.10218204254007694j)	(0.018847367503436074+0.10217312738820442j)
          -3.7109375	(0.019935092213269258+0.1038181441616205j)	(0.019414520954269293+0.10386303388059512j)
