x	u0	u1
         -19.1015625	-4.942513527478321e-07	-5.400506692274099e-06
          -18.984375	3.989092937514704e-06	-2.831303892919523e-06
         -18.8671875	3.603162343976396e-06	4.211926078023787e-06
              -18.75	3.866344575748082e-07	1.799560568775671e-06
         -18.6328125	2.199655832896275e-07	4.229130579583296e-06
          -18.515625	-1.849257300449991e-06	3.584649752058633e-06
         -18.3984375	-5.164641092562927e-06	-3.671184497164304e-07
           -18.28125	-2.854069737809328e-06	-3.596600077780676e-06
         -18.1640625	5.334798371808835e-08	-3.046484589638854e-06
          -18.046875	-6.555488484272232e-07	-4.913872172919442e-06
         -17.9296875	-1.152708304918981e-06	-2.8848896051481e-06
            -17.8125	7.382413195061721e-07	-5.039162400542752e-06
         -17.6953125	4.304839373657499e-06	3.881973133501582e-07
          -17.578125	2.81172409397068e-06	4.19991637014977e-06
         -17.4609375	1.500270882290322e-06	5.716930562414679e-06
           -17.34375	6.963778961893707e-06	3.64327230810424e-06
         -17.2265625	1.153540428457805e-05	7.206298622039475e-06
          -17.109375	9.500900295486558e-06	9.95213914254528e-06
         -16.9921875	5.902767312479518e-06	1.269777521339943e-05
             -16.875	3.803150891948381e-06	1.076758103957243e-05
         -16.7578125	3.042187977260469e-06	8.908157948128714e-06
          -16.640625	3.851550529086756e-06	4.89714649972578e-06
         -16.5234375	5.574943138977884e-06	7.216590808628576e-06
           -16.40625	6.582099145578668e-06	8.331240081739522e-06
         -16.2890625	1.129635408277097e-05	1.495258081366663e-05
          -16.171875	1.812154659106696e-05	1.26829994670577e-05
         -16.0546875	2.127554333081205e-05	8.722566601247761e-06
            -15.9375	2.241522430388582e-05	1.410231943775597e-05
         -15.8203125	2.248041389926736e-05	2.066196702917023e-05
          -15.703125	2.22051261423023e-05	1.757303596239268e-05
         -15.5859375	2.083409067485387e-05	2.34037397275691e-05
           -15.46875	1.980858669779761e-05	2.253386835612131e-05
         -15.3515625	2.468510596612822e-05	1.956960027668653e-05
          -15.234375	2.701962762877153e-05	2.303293405837847e-05
         -15.1171875	2.493628663384484e-05	2.806618309982717e-05
                 -15	2.618472641087444e-05	2.679053628894257e-05
         -14.8828125	2.894279224004148e-05	3.135324212477641e-05
          -14.765625	3.335954209271463e-05	3.152007576935623e-05
         -14.6484375	4.061786185224903e-05	3.522852388297693e-05
           -14.53125	4.848330575485393e-05	4.075226839064805e-05
         -14.4140625	5.244039578862492e-05	4.692698286384855e-05
          -14.296875	5.585720721248966e-05	4.909890603735367e-05
         -14.1796875	6.236878284052172e-05	5.422312164877346e-05
            -14.0625	6.676925950186569e-05	5.855967484855867e-05
         -13.9453125	7.500963175996467e-05	6.834095715255173e-05
          -13.828125	8.688910055886651e-05	7.740811691561711e-05
         -13.7109375	9.473244932780428e-05	8.895892839393821e-05
           -13.59375	0.0001070543639334828	9.471620979890905e-05
         -13.4765625	0.0001201708234814941	0.0001047552955277947
          -13.359375	0.0001333708385004295	0.0001165272344318818
         -13.2421875	0.0001513288013912581	0.0001268477704503695
             -13.125	0.0001665124314018662	0.0001417630736057982
         -13.0078125	0.0001857385321075086	0.0001696017741538644
          -12.890625	0.0002136418885491098	0.0001903947296701403
         -12.7734375	0.0002414345307692606	0.0002179431297033435
           -12.65625	0.0002739981594769673	0.0002514253421916218
         -12.5390625	0.0003103039578143951	0.0002834399230632403
          -12.421875	0.0003506272869930917	0.0003162528915678885
         -12.3046875	0.0003992669955552273	0.0003600687932430284
            -12.1875	0.0004516357028477025	0.0004028284431369412
         -12.0703125	0.0005087785307665987	0.0004537156288906552
          -11.953125	0.0005734492382381967	0.0005181237770757394
         -11.8359375	0.0006395044190392364	0.0005922960796352593
           -11.71875	0.0007194591038395606	0.0006643000942610812
         -11.6015625	0.0008168887492633458	0.0007491678525844876
          -11.484375	0.0009199828182820443	0.0008415254125731346
         -11.3671875	 0.00103448559975332	0.0009456197676367094
              -11.25	0.001168867413216118	0.001063233649475567
         -11.1328125	0.001318536858440217	0.001195540241839349
          -11.015625	 0.00148287506314787	0.001341565810822565
         -10.8984375	0.001663487346881973	0.001506706815859238
           -10.78125	0.001868253242104337	0.001683579195769863
         -10.6640625	0.002099838427220432	0.001891205208441701
          -10.546875	 0.00236135419973163	0.002126831666127357
         -10.4296875	0.002649562182146264	0.002388131550400435
            -10.3125	0.002969480493921317	0.002682966935511788
         -10.1953125	0.003334832725456427	0.003021167518926907
          -10.078125	0.003746604343973378	0.003391856761720713
          -9.9609375	0.004207685166207856	0.003810803387633274
            -9.84375	0.004729869284923111	0.004284122676768032
          -9.7265625	0.005312294248221466	0.004810428701529201
           -9.609375	0.005965575883486784	0.005396781783425314
          -9.4921875	0.006700448592386429	 0.00606649950441529
              -9.375	0.007529269727701085	0.006814290499009182
          -9.2578125	0.008460829400823239	0.007654527881525611
           -9.140625	 0.00949973622917899	0.008599706649872363
          -9.0234375	 0.01066294970176182	0.009663947234258716
            -8.90625	 0.01197102805055952	 0.01085577384137398
          -8.7890625	 0.01343881021948987	 0.01219102294574598
           -8.671875	 0.01509409297357397	 0.01368082478978161
          -8.5546875	 0.01694570138656437	 0.01535322783254575
             -8.4375	 0.01900759932982768	 0.01723008364269664
          -8.3203125	 0.02131552062247929	 0.01933409850303394
           -8.203125	 0.02390126512700994	  0.0216788391946694
          -8.0859375	 0.02678991305875818	 0.02430774604254901
            -7.96875	 0.03001903180810883	 0.02724893218792045
          -7.8515625	 0.03362613451175223	 0.03052878222445851
           -7.734375	 0.03765067932895683	 0.03418592396626902
          -7.6171875	 0.04212845868435926	 0.03827287312642064
                -7.5	 0.04710905326172733	 0.04282139085220286
          -7.3828125	 0.05264377435932455	 0.04787898549373469
           -7.265625	 0.05878879210098533	 0.05349939448815302
          -7.1484375	 0.06560402050817951	 0.05974301730625108
            -7.03125	 0.07314288535446591	 0.06665798268416673
          -6.9140625	 0.08145862394742154	 0.07430613748359058
           -6.796875	 0.09062405359961123	   0.082746312448661
          -6.6796875	  0.1006987384234728	 0.09204572839903108
             -6.5625	  0.1117345715200182	  0.1022559110291934
          -6.4453125	  0.1237866004478237	  0.1134375308270743
           -6.328125	  0.1369102197302394	  0.1256439751871515
          -6.2109375	  0.1511400103644636	  0.1389276152524799
            -6.09375	  0.1665023050378999	  0.1533227034057145
          -5.9765625	  0.1830062723218253	  0.1688588730629883
           -5.859375	  0.2006435337800091	  0.1855348201463831
          -5.7421875	  0.2193758557678005	  0.2033338153914283
              -5.625	  0.2391328461213277	  0.2222152965584501
          -5.5078125	  0.2598152904048517	  0.2421169963029152
           -5.390625	   0.281287756662837	  0.2629218347010078
          -5.2734375	   0.303352443284898	  0.2844847099333572
            -5.15625	  0.3257862129964454	  0.3066160442211894
          -5.0390625	  0.3483216632066917	  0.3290867347379686
           -4.921875	  0.3706374181775534	  0.3516101858508007
          -4.8046875	   0.392376941443929	  0.3738647399513865
             -4.6875	  0.4131588350381041	  0.3954888654508773
          -4.5703125	   0.432580436073459	  0.4161032830771253
           -4.453125	  0.4502387100145149	  0.4352963777001229
          -4.3359375	  0.4657259808577697	  0.4526611643429848
            -4.21875	  0.4786793729979965	  0.4678045936004368
          -4.1015625	  0.4887784880797345	  0.4803610778044385
           -3.984375	  0.4957491122426865	  0.4900018395310159
          -3.8671875	  0.4994051096433423	  0.4964894908014972
               -3.75	  0.4996584430728161	  0.4996521146546476
          -3.6328125	  0.4964924826826189	  0.4994011606921815
           -3.515625	  0.4899936985146477	  0.4957374669720559
          -3.3984375	  0.4803355624458863	  0.4887639825030249
            -3.28125	  0.4677745052717737	  0.4786637789298804
          -3.1640625	  0.4526311451731252	  0.4657064449179462
           -3.046875	  0.4352665553414702	  0.4502151302339188
          -2.9296875	  0.4160719777729499	  0.4325604727870636
             -2.8125	  0.3954645500531801	  0.4131314921988556
          -2.6953125	  0.3738381854510195	  0.3923430348534789
           -2.578125	    0.35157953140996	   0.370595662082804
          -2.4609375	  0.3290558772399792	  0.3482797823167909
            -2.34375	   0.306591183185284	  0.3257483584980283
          -2.2265625	  0.2844587954245203	  0.3033181626600746
           -2.109375	  0.2628984540483646	  0.2812587764096588
          -1.9921875	  0.2420962174339516	  0.2597988308685675
              -1.875	  0.2221960999472705	  0.2391174054302877
          -1.7578125	  0.2033097251059375	  0.2193633400195867
           -1.640625	  0.1855219801993518	  0.2006316330681115
          -1.5234375	  0.1688601235303879	  0.1829988618979208
            -1.40625	  0.1533330411256288	  0.1665022972350753
          -1.2890625	  0.1389401849602228	  0.1511493095724445
           -1.171875	   0.125660688421574	   0.136926669129924
          -1.0546875	  0.1134548819699162	  0.1238125712401874
             -0.9375	  0.1022803898413247	  0.1117622476210921
          -0.8203125	 0.09207664045619973	  0.1007344146162605
           -0.703125	 0.08278656776773896	 0.09066412332323345
          -0.5859375	 0.07434973819345367	 0.08149635895614746
            -0.46875	 0.06671293305230619	  0.0731799843885847
          -0.3515625	 0.05980843935639356	 0.06565152133700575
           -0.234375	 0.05357086366648101	 0.05884383490297936
          -0.1171875	 0.04795193979381984	 0.05271026032006593
                   0	 0.04290675139830022	 0.04718450348310624
           0.1171875	 0.03836981523041059	 0.04221466943753036
            0.234375	 0.03429714130188594	 0.03774808282844769
           0.3515625	 0.03064465863974351	  0.0337392851154564
             0.46875	 0.02737183021165335	 0.03014963321584959
           0.5859375	 0.02444675625582742	 0.02694055227840492
            0.703125	 0.02183430997822488	 0.02406124730051835
           0.8203125	 0.01949558637380984	 0.02148845967594915
              0.9375	 0.01741607835211354	 0.01919108912448441
           1.0546875	 0.01556231759599183	 0.01714228855051383
            1.171875	 0.01390394532697528	 0.01531689121572966
           1.2890625	 0.01242615929831834	 0.01369032128078547
             1.40625	 0.01111793469822151	 0.01224100529541548
           1.5234375	0.009953769246047947	 0.01095523474598216
            1.640625	0.008919890460546084	0.009800665065753004
           1.7578125	0.008003914738747012	0.008777456349930509
               1.875	0.007197726365187715	0.007879591848757913
           1.9921875	0.006482240255925722	0.007086256449692454
            2.109375	0.005844254508177767	0.006383048593461125
           2.2265625	0.005278454282403837	0.005763390943737423
             2.34375	0.004785655799072211	0.005212532081804892
           2.4609375	0.004352656128432997	0.004732641692760818
            2.578125	0.003976116396781627	0.004311947839281165
           2.6953125	0.003649477809695222	0.003947110466792636
              2.8125	0.003373670094860928	0.003631213380955686
           2.9296875	0.003138723144145714	 0.00336309776822056
            3.046875	0.002940370957855483	0.003139579942659302
           3.1640625	0.002777600252900647	0.002955585857199731
             3.28125	0.002645466099131709	0.002801145376948123
           3.3984375	0.002539674768866866	0.002677032875155777
            3.515625	0.002468036534392414	0.002576380438040335
           3.6328125	0.002420994405252478	0.002506474121919893
                3.75	0.002398663282072555	0.002461617095378593
           3.8671875	0.002399351893296015	0.002439338427519089
            3.984375	0.002425255807182891	0.002440269018082947
           4.1015625	0.002468212985678508	0.002470254224516466
             4.21875	0.002529385419307473	0.002524210117851505
           4.3359375	0.002614774816606602	0.002600818776689218
            4.453125	  0.0027248926640768	0.002699052726273077
           4.5703125	0.002853163494852817	0.002822040510507662
              4.6875	0.003005813785200762	0.002959231610394464
           4.8046875	0.003181040264065266	0.003121896569677207
            4.921875	0.003381781422699764	0.003315202236248815
           5.0390625	 0.00360812736122143	0.003534708817186677
             5.15625	0.003866413238774902	0.003774412863203014
           5.2734375	0.004147188798132473	0.004041748232993719
            5.390625	0.004454586051865606	0.004336845369659947
           5.5078125	0.004798849779400469	0.004664345956447435
               5.625	0.005177651702642561	0.005025829611754976
           5.7421875	0.005586321711456219	0.005421257878684332
            5.859375	0.006033995863739233	0.005846118654805721
           5.9765625	0.006518937034849098	0.006317288644518609
             6.09375	0.007054068321626222	0.006831217976479509
           6.2109375	0.007640726899320535	0.007386200565812087
            6.328125	0.008274354846679821	0.007990292333415902
           6.4453125	0.008957777245969606	0.008653976504969234
              6.5625	0.009702192466055339	0.009374083227797633
           6.6796875	 0.01050960624751468	 0.01015172952515077
            6.796875	 0.01138842092788975	 0.01099487511508521
           6.9140625	 0.01233393831211526	 0.01191497735524142
             7.03125	 0.01335243272388145	  0.0129061300613984
           7.1484375	 0.01446265273130989	 0.01398127281501692
            7.265625	 0.01566895386449271	 0.01514613253503705
           7.3828125	 0.01696166940722536	  0.0164046357861353
                 7.5	 0.01836364231995793	 0.01776178585648149
           7.6171875	 0.01988497480700066	 0.01923316209299018
            7.734375	 0.02152927543352062	 0.02082269521985735
           7.8515625	 0.02330459718236266	 0.02253300354991116
             7.96875	 0.02521429263674242	 0.02437480805544995
           8.0859375	 0.02726500947491611	 0.02636516950006032
            8.203125	  0.0294775633908163	  0.0285062867943701
           8.3203125	  0.0318560128686552	 0.03081524789221746
              8.4375	 0.03441049009534347	 0.03329732555024566
           8.5546875	 0.03714968226937385	 0.03596063961563228
            8.671875	 0.04009063111820887	 0.03881582036232872
           8.7890625	 0.04324402322215719	 0.04187690314283216
             8.90625	 0.04661640331373874	 0.04515393756856642
           9.0234375	 0.05021667770588399	 0.04865895546270909
            9.140625	 0.05405958803376101	 0.05239479506372377
           9.2578125	 0.05815043491317853	  0.0563786878498103
               9.375	 0.06250271709273802	 0.06061896157306002
           9.4921875	 0.06712386083135252	 0.06512448394874151
            9.609375	 0.07202048910559017	 0.06990314901721639
           9.7265625	 0.07719799279296327	 0.07496327531438218
             9.84375	 0.08266669621940806	 0.08030099104706652
           9.9609375	 0.08841829031863305	 0.08592264292837695
           10.078125	 0.09444711607599904	  0.0918302225913194
          10.1953125	  0.1007558519851479	 0.09802479467681666
             10.3125	  0.1073396259046009	  0.1044923929522318
          10.4296875	  0.1141816704401205	  0.1112277472044042
           10.546875	  0.1212760314910086	  0.1182181733289369
          10.6640625	  0.1285961969976341	  0.1254446007118312
            10.78125	   0.136115356388722	  0.1328826832555625
          10.8984375	  0.1438102424538073	  0.1405064423557297
           11.015625	  0.1516406723092626	  0.1482777323482156
          11.1328125	   0.159556705357863	  0.1561655708285261
               11.25	  0.1675207451360623	  0.1641185253726575
          11.3671875	  0.1754784706855644	  0.1720891880280783
           11.484375	  0.1833714597816197	  0.1800197549937571
          11.6015625	  0.1911392622361966	  0.1878514519944458
            11.71875	  0.1987193937253176	  0.1955237671741426
          11.8359375	  0.2060355734959204	  0.2029604546344511
           11.953125	   0.213018159078058	  0.2100838832978609
          12.0703125	  0.2195970487152661	  0.2168435325166321
             12.1875	  0.2256939529488756	  0.2231557385497188
          12.3046875	  0.2312354857047343	  0.2289436759565789
           12.421875	  0.2361672787446191	  0.2341430240859012
          12.5390625	  0.2404221750797028	  0.2386907745315229
            12.65625	  0.2439433823734928	  0.2425325880467485
          12.7734375	  0.2466897212407583	  0.2456208708699959
           12.890625	  0.2486271202949197	   0.247902468702517
          13.0078125	  0.2497299714565418	  0.2493591112774616
              13.125	  0.2499824432349566	  0.2499690633345777
          13.2421875	  0.2493682839566846	  0.2497230558439575
